Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A01,21.9729,87464.914,0.433949637037405,-0.00340816498516333,53.49893
A01,22.032272,87437.66,0.433747287465906,-0.00336901217102295,53.49893
A01,22.091642,87410.72,0.433547269213312,-0.00333138310724185,53.49893
A01,22.151014,87384.08,0.433349478335469,-0.00330023129893347,53.49893
A01,22.210384,87357.69,0.433153543603251,-0.00327711057463946,53.49893
A01,22.269756,87331.484,0.432958974994214,-0.00325946300020575,53.49893
A01,22.329126,87305.42,0.432765460675892,-0.00324384676433338,53.49893
A01,22.388498,87279.48,0.4325728670058,-0.00323645267208769,53.49893
A01,22.447868,87253.6,0.432380718810658,-0.00322759001493767,53.49893
A01,22.50724,87227.79,0.432189090336291,-0.00322269649766961,53.49893
A01,22.56661,87202.02,0.431997758845224,-0.00321758586146252,53.49893
A01,22.625982,87176.29,0.431806724337458,-0.00321394256849523,53.49893
A01,22.685352,87150.59,0.431615912567166,-0.00320508066961578,53.49893
A01,22.744724,87124.96,0.43142562051765,-0.00319518414883644,53.49893
A01,22.804094,87099.41,0.431235922434733,-0.00318382184348249,53.49893
A01,22.863466,87073.95,0.431046892564242,-0.00316756509408585,53.49893
A01,22.922838,87048.62,0.430858827889476,-0.00314891338033829,53.49893
A01,22.982208,87023.44,0.430671876902085,-0.00312567270140703,53.49893
A01,23.04158,86998.445,0.430486299462457,-0.00309901598404358,53.49893
A01,23.10095,86973.664,0.430302310883485,-0.00306377200177979,53.49893
A01,23.160322,86949.164,0.430120408612195,-0.00302435747379557,53.49893
A01,23.219692,86924.98,0.429940852508976,-0.00297623565887207,53.49893
A01,23.279064,86901.18,0.429764147445437,-0.00292006066048036,53.49893
A01,23.338434,86877.83,0.429590783444024,-0.00285293446728984,53.49893
A01,23.397806,86855.016,0.429421399018832,-0.00276824251736242,53.49893
A01,23.457176,86832.88,0.429257048460577,-0.00266110482440324,53.49893
A01,23.516548,86811.6,0.429099053344942,-0.0025211316023698,53.49893
A01,23.575918,86791.44,0.42894937376171,-0.00232846672135178,53.49893
A01,23.63529,86772.82,0.428811128035529,-0.0020659272852751,53.49893
