Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
A01,21.9704,46457.812,0.0142512928476385,44.62786,CA121,DMSO
A01,22.02987,46449.75,0.0142298750639469,44.62786,CA121,DMSO
A01,22.089336,46441.254,0.0142073043010786,44.62786,CA121,DMSO
A01,22.148806,46432.33,0.0141835964988379,44.62786,CA121,DMSO
A01,22.208273,46422.977,0.0141587490005909,44.62786,CA121,DMSO
A01,22.267742,46413.21,0.0141328016558481,44.62786,CA121,DMSO
A01,22.32721,46403.047,0.0141058022840225,44.62786,CA121,DMSO
A01,22.386679,46392.508,0.014077804017795,44.62786,CA121,DMSO
A01,22.446148,46381.625,0.0140488918694552,44.62786,CA121,DMSO
A01,22.505615,46370.438,0.0140191721043649,44.62786,CA121,DMSO
A01,22.565084,46358.97,0.0139887058251072,44.62786,CA121,DMSO
A01,22.624552,46347.26,0.01395759664041,44.62786,CA121,DMSO
A01,22.684021,46335.35,0.0139259561289032,44.62786,CA121,DMSO
A01,22.743488,46323.27,0.0138938639896084,44.62786,CA121,DMSO
A01,22.802958,46311.04,0.0138613733552065,44.62786,CA121,DMSO
A01,22.862427,46298.69,0.0138285639247188,44.62786,CA121,DMSO
A01,22.921894,46286.242,0.0137954941440945,44.62786,CA121,DMSO
A01,22.981363,46273.71,0.0137622012062102,44.62786,CA121,DMSO
A01,23.04083,46261.11,0.0137287276172106,44.62786,CA121,DMSO
A01,23.1003,46248.453,0.0136951026000703,44.62786,CA121,DMSO
A01,23.159767,46235.758,0.0136613766308363,44.62786,CA121,DMSO
A01,23.219236,46223.04,0.0136275895590191,44.62786,CA121,DMSO
A01,23.278706,46210.32,0.0135937971739338,44.62786,CA121,DMSO
A01,23.338173,46197.594,0.0135599888490443,44.62786,CA121,DMSO
A01,23.397642,46184.844,0.0135261167649376,44.62786,CA121,DMSO
A01,23.45711,46172.016,0.0134920374633752,44.62786,CA121,DMSO
A01,23.516579,46159.004,0.013457469341148,44.62786,CA121,DMSO
A01,23.576046,46145.63,0.0134219395173956,44.62786,CA121,DMSO
A01,23.635515,46131.535,0.0133844942604949,44.62786,CA121,DMSO
A01,23.694984,46116.098,0.0133434838007023,44.62786,CA121,DMSO
A01,23.754452,46098.32,0.0132962541606044,44.62786,CA121,DMSO
A01,23.813921,46077.05,0.0132397475544123,44.62786,CA121,DMSO
A01,23.873388,46054.336,0.0131794047686555,44.62786,CA121,DMSO
A01,23.932858,46031.465,0.0131186448913532,44.62786,CA121,DMSO
A01,23.992325,46008.574,0.0130578318813699,44.62786,CA121,DMSO
A01,24.051794,45985.734,0.0129971543597231,44.62786,CA121,DMSO
A01,24.111261,45963.023,0.0129368195438684,44.62786,CA121,DMSO
A01,24.17073,45940.47,0.0128769044761933,44.62786,CA121,DMSO
A01,24.2302,45917.99,0.0128171833428036,44.62786,CA121,DMSO
A01,24.289667,45895.344,0.012757021208162,44.62786,CA121,DMSO
A01,24.349136,45872.258,0.0126956901545395,44.62786,CA121,DMSO
A01,24.408604,45848.547,0.0126326987046372,44.62786,CA121,DMSO
A01,24.468073,45824.094,0.0125677360322716,44.62786,CA121,DMSO
A01,24.52754,45798.93,0.0125008844930982,44.62786,CA121,DMSO
A01,24.58701,45773.19,0.0124325027327134,44.62786,CA121,DMSO
A01,24.646479,45746.98,0.0123628723543262,44.62786,CA121,DMSO
A01,24.705946,45720.414,0.0122922962142181,44.62786,CA121,DMSO
A01,24.765415,45693.78,0.0122215394229948,44.62786,CA121,DMSO
A01,24.824883,45667.42,0.0121515105495004,44.62786,CA121,DMSO
A01,24.884352,45641.625,0.012082982674243,44.62786,CA121,DMSO
A01,24.943819,45616.594,0.0120164844673979,44.62786,CA121,DMSO
A01,25.003288,45592.434,0.0119523001888083,44.62786,CA121,DMSO
A01,25.062757,45569.09,0.0118902837236015,44.62786,CA121,DMSO
A01,25.122225,45546.453,0.0118301454986664,44.62786,CA121,DMSO
A01,25.181694,45524.453,0.0117716995496195,44.62786,CA121,DMSO
A01,25.241161,45503.11,0.0117149990091419,44.62786,CA121,DMSO
A01,25.30063,45482.51,0.0116602723477617,44.62786,CA121,DMSO
A01,25.360098,45462.777,0.0116078489881007,44.62786,CA121,DMSO
A01,25.419567,45443.906,0.0115577156469888,44.62786,CA121,DMSO
A01,25.479036,45425.816,0.011509657137068,44.62786,CA121,DMSO
A01,25.538504,45408.367,0.0114633015295717,44.62786,CA121,DMSO
A01,25.597973,45391.258,0.0114178491776516,44.62786,CA121,DMSO
A01,25.65744,45374.15,0.0113723994823655,44.62786,CA121,DMSO
A01,25.71691,45356.703,0.0113260491881373,44.62786,CA121,DMSO
A01,25.776377,45338.617,0.0112780013047527,44.62786,CA121,DMSO
A01,25.835846,45319.55,0.0112273472633674,44.62786,CA121,DMSO
A01,25.895315,45299.133,0.0111731067660179,44.62786,CA121,DMSO
A01,25.954782,45277.027,0.011114379213762,44.62786,CA121,DMSO
A01,26.014252,45253.188,0.0110510477147016,44.62786,CA121,DMSO
A01,26.073719,45227.84,0.0109837073548635,44.62786,CA121,DMSO
A01,26.133188,45201.4,0.0109134659506454,44.62786,CA121,DMSO
A01,26.192656,45174.383,0.0108416916685818,44.62786,CA121,DMSO
A01,26.252125,45147.258,0.0107696304700411,44.62786,CA121,DMSO
A01,26.311594,45120.348,0.0106981404478206,44.62786,CA121,DMSO
A01,26.371061,45093.99,0.0106281168875944,44.62786,CA121,DMSO
A01,26.43053,45068.598,0.0105606596358581,44.62786,CA121,DMSO
A01,26.489998,45044.586,0.0104968685391075,44.62786,CA121,DMSO
A01,26.549467,45022.18,0.0104373439966373,44.62786,CA121,DMSO
A01,26.608934,45001.344,0.0103819903696219,44.62786,CA121,DMSO
A01,26.668404,44981.93,0.0103304144762221,44.62786,CA121,DMSO
A01,26.727873,44963.754,0.0102821274957732,44.62786,CA121,DMSO
